"id";"latitude";"longitude";"name";"light";"number";"address";"activate";"no_available";"total_bases";"dock_bikes";"free_bases";"reservations_count";"district";"neighborhood";"startDate"
103;"40.4242625";"-3.6753567";"Plaza de Felipe II";1;"98";"Plaza de Felipe II";1;0;24;21;0;0;"04  SALAMANCA";"04-02 GOYA";2014-06-23
104;"40.4261851";"-3.6738714";"Alcántara";2;"99";"Calle Alcántara nº 2";1;0;24;8;16;0;"04  SALAMANCA";"04-02 GOYA";2014-06-23
105;"40.4248457";"-3.6738635";"Palacio de Deportes";2;"100";"Calle Goya nº 99";1;0;24;16;8;0;"04  SALAMANCA";"04-02 GOYA";2014-06-23
106;"40.4231526";"-3.6691523";"Jorge Juan";0;"101";"Calle Jorge Juan nº 131";1;0;24;5;17;0;"04  SALAMANCA";"04-02 GOYA";2014-06-23
107;"40.4211802";"-3.6840229";"Velázquez";2;"102";"Calle Alcalá nº 95";1;0;24;8;15;0;"04  SALAMANCA";"04-01 RECOLETOS";2014-06-23
108;"40.4303057";"-3.6865654";"Ortega y Gasset";1;"103";"Calle Ortega y Gasset nº 6";1;0;24;18;6;0;"04  SALAMANCA";"04-06 CASTELLANA";2014-06-23
109;"40.4268331";"-3.6895336";"Castellana";2;"104";"Paseo de la Castellana nº 4";1;0;21;10;10;0;"04  SALAMANCA";"04-01 RECOLETOS";2014-06-23
110;"40.4267905";"-3.6873922";"Serrano";2;"105";"Calle Serrano nº 54";1;0;24;15;9;0;"04  SALAMANCA";"04-01 RECOLETOS";2014-06-23
111;"40.4251002";"-3.6877227";"Colón A";2;"106a";"Calle Serrano nº 34";1;0;18;10;7;0;NA;NA;NA
112;"40.4249630";"-3.6877450";"Colón B";2;"106b";"Calle Serrano nº 34";1;0;18;12;6;0;NA;NA;NA
113;"40.4215246";"-3.6884369";"Columela";2;"107";"Calle Serrano nº 6";1;0;24;15;9;0;"04  SALAMANCA";"04-01 RECOLETOS";2014-06-23
114;"40.4273005";"-3.6706024";"Mártires Concepcionistas";0;"108";"Calle Mártires Concepcionistas nº 2";1;0;27;4;18;0;"04  SALAMANCA";"04-02 GOYA";2014-06-23
115;"40.4300481";"-3.6816402";"Marqués de Salamanca";2;"109";"Calle José Ortega y Gasset nº 30";1;0;24;9;13;0;"04  SALAMANCA";"04-06 CASTELLANA";2014-06-23
116;"40.4344969";"-3.7206893";"Moncloa";2;"110";"Paseo de Moret nº 2";1;0;24;12;11;0;"09  MONCLOA-ARAVACA";"09-01 CASA DE CAMPO";2014-06-23
117;"40.4337322";"-3.7175435";"Arcipreste de Hita A";2;"111a";"Calle Arcipreste de Hita nº 12";1;0;24;12;11;0;"07  CHAMBERÍ";"07-01 GAZTAMBIDE";2014-06-23
118;"40.4337036";"-3.7175115";"Arcipreste de Hita B";2;"111b";"Calle Arcipreste de Hita nº 12";1;0;24;12;12;0;"07  CHAMBERÍ";"07-01 GAZTAMBIDE";2014-06-23
119;"40.4325991";"-3.7246532";"Paseo de Moret";2;"112";"Paseo de Moret nº 11";1;0;24;15;9;0;"09  MONCLOA-ARAVACA";"09-02 ARGÜELLES";2014-06-23
120;"40.4276570";"-3.7205129";"Pintor Rosales";2;"113";"Paseo del Pintor Rosales nº 38";1;0;24;11;11;0;"09  MONCLOA-ARAVACA";"09-01 CASA DE CAMPO";2014-06-23
121;"40.4277456";"-3.7174158";"Quintana";2;"114";"Calle Quintana nº 11-13";1;0;24;15;9;0;"09  MONCLOA-ARAVACA";"09-02 ARGÜELLES";2014-06-23
122;"40.4253944";"-3.7170448";"Ferraz";2;"115";"Calle Evaristo San Miguel nº 2";1;0;24;14;9;0;"09  MONCLOA-ARAVACA";"09-02 ARGÜELLES";2014-06-23
123;"40.4240200";"-3.7116030";"Plaza de España A";0;"116a";"Plaza de España";1;0;24;7;17;0;"09  MONCLOA-ARAVACA";"09-02 ARGÜELLES";2014-06-23
124;"40.4241200";"-3.7117030";"Plaza de España B";2;"116b";"Plaza de España";1;0;24;9;15;0;"09  MONCLOA-ARAVACA";"09-02 ARGÜELLES";2014-06-23
125;"40.4309797";"-3.7188898";"Altamirano";2;"117";"Calle Altamirano nº 24";1;0;24;12;8;0;"09  MONCLOA-ARAVACA";"09-02 ARGÜELLES";2014-06-26
126;"40.4007810";"-3.6882407";"Juan Martín";2;"118";"Calle Juan Martín el Empecinado nº 14";1;0;24;13;11;0;"02  ARGANZUELA";"02-06 PALOS DE MOGUER";2014-06-23
127;"40.4013216";"-3.6863218";"Méndez Álvaro";2;"119";"Calle Méndez Álvaro nº 11";1;0;24;11;12;0;"02  ARGANZUELA";"02-07 ATOCHA";2014-06-23
128;"40.4032208";"-3.6944768";"Palos de la Frontera";0;"120";"Calle Palos de la Frontera nº 40";1;0;24;3;21;0;"02  ARGANZUELA";"02-06 PALOS DE MOGUER";2014-06-23
129;"40.4017926";"-3.6987665";"Santa María de la Cabeza";0;"121";"Paseo de Santa María de la Cabeza nº 58";1;0;24;5;17;1;"02  ARGANZUELA";"02-06 PALOS DE MOGUER";2014-06-23
130;"40.4295863";"-3.6963983";"Santa Engracia 14";0;"122";"Calle Santa Engracia nº 14";1;0;24;5;18;0;"07  CHAMBERÍ";"07-04 ALMAGRO";2014-06-23
131;"40.4306458";"-3.7133412";"Guzmán el Bueno";1;"123";"Calle Guzmán el Bueno nº 2";1;0;24;17;6;0;"07  CHAMBERÍ";"07-01 GAZTAMBIDE";2014-06-23
