day,hour,temperature,rain_mm3,rain,windspeed
2018-09-16,02,19.8,0,0,0.6
2018-09-16,03,20.4,0,0,0.6
2018-09-16,04,18.6,0,0,0.6
2018-09-16,05,17.8,0,0,0.6
2018-09-16,06,17,0,0,0.6
2018-09-16,07,16,0,0,0.6
2018-09-16,08,15.5,0,0,0.6
2018-09-16,09,16.7,0,0,0.6
2018-09-16,10,20,0,0,0.6
2018-09-16,11,22.6,0,0,0.6
2018-09-16,12,24.8,0,0,0.6
2018-09-16,13,26.7,0,0,0.6
2018-09-16,14,27.4,0,0,0.6
2018-09-16,15,29.1,0,0,0.6
2018-09-16,16,30,0,0,0.6
2018-09-16,17,31.8,0,0,0.6
2018-09-16,18,30.7,0,0,0.6
2018-09-16,19,29.9,0,0,0.6
2018-09-16,20,27.9,0,0,0.6
2018-09-16,21,24.5,0,0,0.6
2018-09-16,22,23,0,0,0.6
2018-09-16,23,22.1,0,0,0.6
2018-09-17,00,20.8,0,0,1.65
2018-09-17,01,20.4,0,0,1.65
2018-09-17,02,19.6,0,0,1.65
2018-09-17,03,18.4,0,0,1.65
2018-09-17,04,21.6,0,0,1.65
2018-09-17,05,18.8,0,0,1.65
2018-09-17,06,19.7,0,0,1.65
2018-09-17,07,19.2,0,0,1.65
2018-09-17,08,18.7,0,0,1.65
2018-09-17,09,20.8,0,0,1.65
2018-09-17,10,23.6,0,0,1.65
2018-09-17,11,24.8,0,0,1.65
2018-09-17,12,25.8,0,0,1.65
2018-09-17,13,26.7,0,0,1.65
2018-09-17,14,28.2,0,0,1.65
2018-09-17,15,29.6,0,0,1.65
2018-09-17,16,30.9,0,0,1.65
2018-09-17,17,30.4,0,0,1.65
2018-09-17,18,31,0,0,1.65
2018-09-17,19,28.8,0,0,1.65
2018-09-17,20,25.6,0,0,1.65
2018-09-17,21,25.6,0,0,1.65
2018-09-17,22,24.4,0,0,1.65
2018-09-17,23,23.4,0,0,1.65
2018-09-18,00,21.9,0,0,1.1
2018-09-18,01,20.4,0,0,1.1
2018-09-18,02,19.5,0,0,1.1
2018-09-18,03,19,0,0,1.1
2018-09-18,04,18.3,0,0,1.1
2018-09-18,05,18.1,0,0,1.1
2018-09-18,06,18.7,0,0,1.1
2018-09-18,07,18.1,0,0,1.1
2018-09-18,08,17.1,0,0,1.1
2018-09-18,09,17.2,0,0,1.1
2018-09-18,10,21.8,0,0,1.1
2018-09-18,11,22.2,0,0,1.1
2018-09-18,12,24.3,0,0,1.1
2018-09-18,13,26,0,0,1.1
2018-09-18,14,27.2,0,0,1.1
2018-09-18,15,28.1,0,0,1.1
2018-09-18,16,28.5,0,0,1.1
2018-09-18,17,27.6,0,0,1.1
2018-09-18,18,25.1,0,0,1.1
2018-09-18,19,24.9,0,0,1.1
2018-09-18,20,24.8,0,0,1.1
2018-09-18,21,22.1,0,0,1.1
2018-09-18,22,20.8,0,0,1.1
2018-09-18,23,22,0,0,1.1
2018-09-19,00,22.2,0,0,0.7
2018-09-19,01,19.5,0,0,0.7
2018-09-19,02,18.8,0,0,0.7
2018-09-19,03,17.6,0,0,0.7
2018-09-19,04,17.2,0,0,0.7
